Feature_1,Feature_2,Correlation
P_RADIUS_ERROR_MIN,S_MAG,-0.9988745254019761
S_MAG,S_AGE_ERROR_MIN,0.9988620669139666
S_MAG,S_AGE_ERROR_MAX,-0.9988620573012743
P_RADIUS_ERROR_MAX,S_MAG,0.9988567626408603
S_MAG,S_ABIO_ZONE,0.9988563724562284
S_METALLICITY,S_METALLICITY_ERROR_MAX,0.9988462181043521
S_MAG,S_HZ_OPT_MIN,-0.998818282476017
S_MAG,S_LUMINOSITY,-0.998802060429803
S_TEMPERATURE_ERROR_MIN,P_POTENTIAL,-0.9987791078438544
S_TEMPERATURE_ERROR_MIN,P_GRAVITY,-0.998760584107056
S_METALLICITY,P_GRAVITY,-0.9987543181987729
S_METALLICITY,P_POTENTIAL,-0.998746198776135
S_MAG,S_TEMPERATURE_ERROR_MIN,-0.998742485489722
S_METALLICITY_ERROR_MIN,P_GRAVITY,0.9987390920249916
S_METALLICITY_ERROR_MIN,P_POTENTIAL,0.9987279123244361
S_METALLICITY_ERROR_MAX,P_GRAVITY,-0.998715587120347
S_METALLICITY_ERROR_MAX,S_TEMPERATURE_ERROR_MIN,0.998709479336573
S_TEMPERATURE_ERROR_MAX,P_DENSITY,0.998705098989707
S_METALLICITY_ERROR_MAX,P_POTENTIAL,-0.9987045008262102
P_SEMI_MAJOR_AXIS,P_SEMI_MAJOR_AXIS_EST,0.9987016993402158
S_METALLICITY_ERROR_MIN,S_TEMPERATURE_ERROR_MIN,-0.9987001640942186
P_RADIUS,S_AGE_ERROR_MIN,-0.9986928268030055
P_RADIUS,S_AGE_ERROR_MAX,0.9986928219411335
P_RADIUS,S_ABIO_ZONE,-0.9986860034175343
P_RADIUS,S_HZ_OPT_MIN,0.9986232469197359
P_RADIUS,S_LUMINOSITY,0.9986076210355029
P_RADIUS,P_RADIUS_ERROR_MIN,0.998603035212828
P_SEMI_MAJOR_AXIS,P_DISTANCE,0.9985590421797327
S_METALLICITY,P_DENSITY,-0.9985441144755572
S_TEMPERATURE_ERROR_MIN,P_DENSITY,-0.9985363864379787
P_RADIUS,P_RADIUS_ERROR_MAX,-0.9985276602767043
S_METALLICITY_ERROR_MIN,P_DENSITY,0.9985172534875931
S_METALLICITY_ERROR_MAX,P_DENSITY,-0.9984942188202435
S_MAG,S_METALLICITY,-0.9984050943278061
P_RADIUS,S_METALLICITY,0.9983681459230349
S_MAG,P_ESCAPE,0.998357376168951
P_RADIUS,S_TEMPERATURE_ERROR_MAX,-0.9983069474910273
S_MAG,P_GRAVITY,0.9981909713630286
S_MAG,P_POTENTIAL,0.9981659616152836
P_RADIUS,S_TEMPERATURE_ERROR_MIN,0.9981481870607615
P_RADIUS,P_GRAVITY,-0.9981156689023903
P_RADIUS,P_ESCAPE,-0.9980049089100842
P_RADIUS,P_POTENTIAL,-0.9979913751202514
P_RADIUS,S_METALLICITY_ERROR_MAX,0.9979770582847916
S_MAG,P_DENSITY,0.9979767534447993
P_RADIUS,S_MAG,-0.9979646109447687
P_RADIUS,S_METALLICITY_ERROR_MIN,-0.9979613022760185
P_RADIUS,P_DENSITY,-0.9979461588338846
S_MAG,S_METALLICITY_ERROR_MIN,0.9977998272888112
S_MAG,S_METALLICITY_ERROR_MAX,-0.9977963208694396
P_RADIUS_ERROR_MIN,S_DISTANCE_ERROR_MIN,0.9973956652837296
P_RADIUS_ERROR_MAX,S_DISTANCE_ERROR_MIN,-0.997388849250647
S_DISTANCE_ERROR_MIN,S_HZ_OPT_MIN,0.9973673229801977
S_DISTANCE_ERROR_MIN,S_LUMINOSITY,0.99736141287524
S_DISTANCE_ERROR_MIN,S_AGE_ERROR_MAX,0.9973102490111796
S_DISTANCE_ERROR_MIN,S_AGE_ERROR_MIN,-0.99731024746965
S_DISTANCE_ERROR_MIN,S_ABIO_ZONE,-0.9973076316148461
S_DISTANCE_ERROR_MIN,S_TEMPERATURE_ERROR_MAX,-0.9972018114345755
S_DISTANCE_ERROR_MIN,S_TEMPERATURE_ERROR_MIN,0.9970752161523465
S_DISTANCE_ERROR_MIN,S_METALLICITY,0.9968202997283899
S_DISTANCE_ERROR_MIN,P_ESCAPE,-0.9968004392734686
S_MAG,S_DISTANCE_ERROR_MIN,-0.9966630739214677
S_DISTANCE_ERROR_MIN,S_METALLICITY_ERROR_MAX,0.9966018084519124
S_DISTANCE_ERROR_MIN,S_METALLICITY_ERROR_MIN,-0.9965931124672389
S_DISTANCE_ERROR_MIN,P_POTENTIAL,-0.9965762675355974
S_DISTANCE_ERROR_MIN,P_GRAVITY,-0.9965664015837823
S_DISTANCE_ERROR_MIN,P_DENSITY,-0.9963422500848138
P_RADIUS,S_DISTANCE_ERROR_MIN,0.9961233866141065
S_CONSTELLATION,S_CONSTELLATION_ABR,0.995946516320734
P_NAME,S_NAME,0.9958748549858082
S_MAG,S_LOG_G,0.995476229275362
S_LOG_G,S_HZ_OPT_MIN,-0.9945689024656744
S_LOG_G,S_LUMINOSITY,-0.9945616497124632
P_RADIUS_ERROR_MIN,S_LOG_G,-0.9944849676845118
P_RADIUS_ERROR_MAX,S_LOG_G,0.9944548422301934
S_LOG_G,S_ABIO_ZONE,0.9944454409314238
S_AGE_ERROR_MIN,S_LOG_G,0.9944450827988716
S_AGE_ERROR_MAX,S_LOG_G,-0.9944450716592521
S_TEMPERATURE_ERROR_MAX,S_LOG_G,0.9943500320822589
S_TEMPERATURE_ERROR_MIN,S_LOG_G,-0.9942718189354858
S_LOG_G,P_ESCAPE,0.993970386503627
S_LOG_G,P_GRAVITY,0.9938370891821385
S_LOG_G,P_POTENTIAL,0.9938232108928466
P_RADIUS,S_LOG_G,-0.9937819021185453
S_LOG_G,P_DENSITY,0.9936308698904539
S_METALLICITY,S_LOG_G,-0.993516568743867
S_METALLICITY_ERROR_MAX,S_LOG_G,-0.9934231113188937
S_METALLICITY_ERROR_MIN,S_LOG_G,0.9933186341134699
S_DISTANCE_ERROR_MIN,S_DISTANCE_ERROR_MAX,-0.993027098033556
S_RADIUS,S_LOG_G,-0.9924615854436718
S_LOG_G,S_RADIUS_EST,-0.9922203764547642
S_DISTANCE_ERROR_MIN,S_LOG_G,-0.9917704923052582
P_TEMP_EQUIL,P_TEMP_EQUIL_MAX,0.9910500435974374
S_MAG,S_RADIUS,-0.990175629169126
S_RADIUS,S_LUMINOSITY,0.9896610827106014
S_RADIUS,S_HZ_OPT_MIN,0.9894852862903627
S_MAG,S_RADIUS_EST,-0.9894079860776683
P_RADIUS_ERROR_MIN,S_RADIUS,0.9892008474613134
P_RADIUS_ERROR_MAX,S_RADIUS,-0.9891771878656943
S_RADIUS,S_TEMPERATURE_ERROR_MAX,-0.9891538915781763
S_RADIUS,S_ABIO_ZONE,-0.9891469637833215
S_RADIUS,S_AGE_ERROR_MIN,-0.9891463229644722
S_RADIUS,S_AGE_ERROR_MAX,0.9891463179098293
S_RADIUS,S_TEMPERATURE_ERROR_MIN,0.9889458965913438
S_RADIUS_EST,S_LUMINOSITY,0.9888580530019135
S_RADIUS_EST,S_HZ_OPT_MIN,0.9886795373600961
S_RADIUS,P_ESCAPE,-0.9886264179885672
S_RADIUS,P_GRAVITY,-0.988451277002187
S_RADIUS,P_POTENTIAL,-0.9884396220798632
P_RADIUS_ERROR_MIN,S_RADIUS_EST,0.9883789802248493
P_RADIUS_ERROR_MAX,S_RADIUS_EST,-0.9883550393011996
S_TEMPERATURE_ERROR_MAX,S_RADIUS_EST,-0.9883348898693789
S_RADIUS_EST,S_ABIO_ZONE,-0.9883252588775943
S_AGE_ERROR_MIN,S_RADIUS_EST,-0.9883246671430032
S_AGE_ERROR_MAX,S_RADIUS_EST,0.9883246621702934
S_METALLICITY_ERROR_MIN,S_RADIUS,-0.9883124874429592
S_METALLICITY_ERROR_MAX,S_RADIUS,0.9882911316940485
S_RADIUS,P_DENSITY,-0.9882416790508357
P_RADIUS,S_RADIUS,0.9881418864953073
S_TEMPERATURE_ERROR_MIN,S_RADIUS_EST,0.9881257863709755
S_METALLICITY,S_RADIUS,0.9879212640259992
P_ESCAPE,S_RADIUS_EST,-0.9878050771685125
P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,0.9877940557516062
P_GRAVITY,S_RADIUS_EST,-0.9876312418606004
P_POTENTIAL,S_RADIUS_EST,-0.9876192121154247
S_METALLICITY_ERROR_MIN,S_RADIUS_EST,-0.9875106877429618
S_METALLICITY_ERROR_MAX,S_RADIUS_EST,0.9874931109583883
P_DENSITY,S_RADIUS_EST,-0.9874220115275144
P_RADIUS,S_RADIUS_EST,0.9873293742649406
S_METALLICITY,S_RADIUS_EST,0.9871013604280404
S_DISTANCE_ERROR_MIN,S_RADIUS,0.9864576874045036
S_DISTANCE_ERROR_MIN,S_RADIUS_EST,0.9856322143918763
S_DISTANCE_ERROR_MAX,S_TEMPERATURE_ERROR_MIN,-0.984793295278195
S_MAG,S_DISTANCE_ERROR_MAX,0.9844102441579442
S_DISTANCE_ERROR_MAX,S_TEMPERATURE_ERROR_MAX,0.9842054524136962
P_RADIUS_ERROR_MAX,S_DISTANCE_ERROR_MAX,0.9839660325698877
P_RADIUS_ERROR_MIN,S_DISTANCE_ERROR_MAX,-0.9838484549236893
S_DISTANCE_ERROR_MAX,S_HZ_OPT_MIN,-0.9837513689888833
S_DISTANCE_ERROR_MAX,S_LUMINOSITY,-0.9837510415538464
S_DISTANCE_ERROR_MAX,S_AGE_ERROR_MAX,-0.9835755739508102
S_DISTANCE_ERROR_MAX,S_AGE_ERROR_MIN,0.9835755605407653
S_DISTANCE_ERROR_MAX,S_ABIO_ZONE,0.9835650452737995
S_DISTANCE_ERROR_MAX,P_ESCAPE,0.983096174614228
S_DISTANCE_ERROR_MAX,S_METALLICITY,-0.9830393301654498
P_RADIUS,S_DISTANCE_ERROR_MAX,-0.9830294713301235
S_DISTANCE_ERROR_MAX,P_POTENTIAL,0.9828565428272673
S_DISTANCE_ERROR_MAX,P_GRAVITY,0.9828286048474717
S_DISTANCE_ERROR_MAX,P_DENSITY,0.9825979994951319
S_DISTANCE_ERROR_MAX,S_METALLICITY_ERROR_MAX,-0.9821547087159023
P_RADIUS,P_TEMP_EQUIL_MAX,0.9821342337515397
S_DISTANCE_ERROR_MAX,S_METALLICITY_ERROR_MIN,0.9819890664723259
S_METALLICITY,P_TEMP_EQUIL_MAX,0.9803595016713363
P_TEMP_EQUIL_MAX,S_HZ_OPT_MIN,0.9802895290503104
P_TEMP_EQUIL_MAX,S_ABIO_ZONE,-0.9802816844281574
S_AGE_ERROR_MIN,P_TEMP_EQUIL_MAX,-0.9802768256538075
S_AGE_ERROR_MAX,P_TEMP_EQUIL_MAX,0.9802768148071098
P_TEMP_EQUIL_MAX,S_LUMINOSITY,0.9802658990947213
P_RADIUS_ERROR_MIN,P_TEMP_EQUIL_MAX,0.9800175538293331
P_RADIUS_ERROR_MAX,P_TEMP_EQUIL_MAX,-0.979937312626983
P_GRAVITY,P_TEMP_EQUIL_MAX,-0.9798967649123068
P_POTENTIAL,P_TEMP_EQUIL_MAX,-0.9798611240254961
S_METALLICITY_ERROR_MIN,P_TEMP_EQUIL_MAX,-0.9798290020632648
S_METALLICITY_ERROR_MAX,P_TEMP_EQUIL_MAX,0.9797484820328768
P_ESCAPE,P_TEMP_EQUIL_MAX,-0.979733351196747
P_DENSITY,P_TEMP_EQUIL_MAX,-0.9796897866685005
S_TEMPERATURE_ERROR_MAX,P_TEMP_EQUIL_MAX,-0.9790860740684183
S_TEMPERATURE_ERROR_MIN,P_TEMP_EQUIL_MAX,0.9786984494443025
S_DISTANCE_ERROR_MAX,S_LOG_G,0.9782855746059137
S_MAG,P_TEMP_EQUIL_MAX,-0.9780196678473987
S_DISTANCE_ERROR_MIN,P_TEMP_EQUIL_MAX,0.976691303227901
S_LOG_G,P_TEMP_EQUIL_MAX,-0.9758675816531729
S_DISTANCE_ERROR_MAX,S_RADIUS,-0.9732944209922814
S_DISTANCE_ERROR_MAX,S_RADIUS_EST,-0.972477706383985
S_RADIUS,P_TEMP_EQUIL_MAX,0.9713021370328349
P_TEMP_EQUIL_MAX,S_RADIUS_EST,0.970662790349141
S_DISTANCE_ERROR_MAX,P_TEMP_EQUIL_MAX,-0.9604746971330688
P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,0.9583154706689921
P_RADIUS,P_TEMP_EQUIL,0.9503683373261774
